Atomic Radius(Atomic unit),Expansion Coefficient,Electron Affinity(-ive),Conductivity,Yield Strength,Outcome
1.4,0.008,38,75.95,227.7241379,1
1.3,0.003,40,79.17,248.3478261,1
1.3,0.005,36,21.75,305.347548,1
1.3,0.004,35,32.48,378.4122137,1
1.3,0,37,5.4,227.8571429,1
1.28,0.01,37,44.8,244.8234281,1
1.28,0.01,46,24.36,100.1953125,1
1.28,0.012,30,46.19,385.546875,1
1.28,0.011,28,68,505.8461538,1
1.28,0.005,45,29.12,134.3209877,1
1.28,0.004,43,9.75,112.0300752,1
1.28,0.007,50,11.21,105.75,1
1.28,0.008,42,10.8,116.697995,1
1.28,0.008,36,51.68,630.858209,1
1.28,0.007,39,51.03,209.2307692,1
1.28,0.006,36,77.9,666,1
1.28,0.007,36,70.3,650.5820106,1
1.28,0.007,37,107.83,787.8,1
1.28,0.003,34,78.4,924.5153374,1
1.28,0.008,38,38.48,263.144186,1
1.28,0.007,39,44.46,162.4935065,1
1.36,0,69,13.76,77.20851064,1
1.2,0.004,41,10.12,303.2874016,1
1.2,0.003,45,8.96,35.03571429,1
1.2,0.003,37,10.56,65.11627907,1
1.2,0.004,41,10.89,237.2916667,1
1.2,0.003,40,8.7,448,1
1.2,0.004,42,9.4,262.8751406,1
1.2,0.003,42,14.19,80.30769231,1
1.2,0.003,45,8.91,22.86206897,1
1.2,0.006,40,15.4,101.6198347,1
1.2,0.004,36,20.25,398.1226667,1
1.2,0.004,38,20.54,42.20138889,1
1.2,0.003,38,20.8,62.77892562,1
1.2,0.006,35,16.32,426.0822511,1
1.2,0.009,35,22.35,764.9611511,1
1.2,0.008,35,3.36,589.1180124,1
1.2,0.004,37,16.95,760.5,1
1.48,0.003,77,4.8,43.92156863,1
1.48,0.004,79,4,36.60130719,2

1.48,0.005,77,5.1,59.33774834,3
1.48,0.005,78,5,59.33774834,2
1.48,0.004,75,6.42,29.66887417,2
1.44,0.002,73,5.58,74.59354839,1
1.44,0.002,76,7.08,131.6903226,2
1.44,0.001,71,2.16,116.0344086,1
1.44,0.001,73,3.64,102.3694268,1
1.44,0,67,8.73,59.19463087,1
1.47,0.003,71,6.65,329.0314465,1
1.47,0.003,67,8.72,660.3821656,1
1.48,0.004,73,6.93,358.9433962,1
1.44,0.003,34,31.68,146.7019868,1
1.44,0.002,36,16.1,293.93,1
1.44,0.002,35,44.46,94.81677704,1
1.44,0.002,33,36.55,106.5470199,1
1.43,0.003,39,16,54.4,1
1.46,0.001,41,51.87,113.8248848,1
1.46,0.001,40,48.64,167.2580645,1
1.46,0.002,40,52.2,111.1863057,1
1.46,0.002,41,1.4,234.7276423,1
1.42,0.002,30,107.01,375,1
1.42,0,40,11.88,94.03061224,1
1.42,0.003,45,9.57,175.8157895,1
1.42,0.004,45,5.4,129.7594937,1
1.42,0.002,43,7.52,25.33561644,1
1.33,0.004,36,85.56,289.4894366,1
1.33,0.003,38,48.5,331.787234,1
1.3,0.003,45,81.2,540.8759124,1
1.3,0.004,46,70,511.7697842,1
1.32,0,37,40.8,142.1818182,1
1.2,0.002,46,28.5,106.1587302,1

1.34,0.003,47,0,276.0784314,1
1.34,0.004,48,0,224.516129,1
1.44,0,51,23.87,41.50689906,2
1.44,0,47,10.88,35.05263158,2
1.44,0,62,3.05,10.50322581,2
1.43,0,50,13.42,39.11073826,1
1.43,0,57,6.24,48.34666667,1
1.43,0,56,5.34,27.79555556,1
1.43,0,44,14.82,54.59459459,1
1.38,0,45,12.8,56.31034483,1
1.38,0,42,13.6,79.38194444,1
1.38,0,38,19.8,63,1
1.38,0,38,23.64,90,1
1.36,0,40,44.62,176.0027586,1
1.36,0,46,8.97,38.77040816,1
1.23,0.001,73,1.56,16.128,3
1.23,0,76,0.66,10.46774194,3
1.23,0.004,60,6.24,26,2
1.23,0.001,74,1.77,23.11111111,2
1.23,0.001,72,1.95,23.48387097,2
1.23,0,70,1.77,48.87096774,2
1.23,0,73,0.87,4.32,3
1.23,0,74,0.84,4.32,3

1.23,0,70,1.32,16.72,3
1.23,0,71,1.23,16.85483871,3
1.3,0.005,22,14.08,31.39658849,1
1.3,0.005,23,15.36,35.20987654,1
1.3,0.005,22,10.08,28.65671642,1
1.3,0.004,24,9.12,62.22222222,1
1.3,0.005,21,10.22,88.57894737,1
1.3,0.005,23,7.41,28.65671642,1
1.28,0.006,23,0,789.9428571,2
1.38,0.005,57,12.46,484.6376812,2
1.38,0.005,57,13.26,399.4160584,2
1.38,0.003,60,7.5,360.5742857,2
1.38,0.005,61,10,271.4,2
1.38,0.003,62,4.05,46.01408451,2
1.38,0.005,65,2.8,12.11267606,2
1.38,0.006,58,7.59,337.0212766,2
1.41,0.001,54,8.55,210.8843537,1
1.41,0.001,56,7.65,478.7755102,1
1.41,0,47,7.76,100.8979592,1
1.41,0.002,62,3.9,85.5704698,2
1.4,0.002,57,4.42,297.4850299,1
1.4,0.001,57,12.87,326.6272189,1
1.4,0,55,0,564.6706587,1
1.4,0,59,0,1364.733728,1
1.4,0,56,0,495.8083832,1
1.4,0,58,5.04,323.5739645,1
1.42,0.004,50,28.56,46.16326531,1
1.42,0.003,54,6.6,42.44897959,1
1.4,0.004,34,118.32,129.9189189,1
1.32,0.004,35,0,1171.153846,3
1.32,0.002,37,0,1354.488312,3
1.33,0.007,27,22.2,491.0144928,1
1.33,0.007,26,20.64,311.0719424,1
1.33,0.005,29,20.28,113,1
1.33,0.008,26,22.72,288.057554,1
1.33,0.007,28,15.52,262.8510638,1
1.33,0.004,21,36.11,584.1407407,2
1.33,0.004,18,58.05,725.7871901,3
1.33,0.003,25,22.61,313.3913043,1
1.33,0.005,24,28.14,560.0845411,1
1.33,0.005,29,16.15,209.3834586,1
1.33,0.005,35,7.02,119.4285714,1
1.33,0.006,24,10.83,323.5015385,1
1.33,0.005,32,13.44,215.3333333,1
1.31,0.003,29,16.2,347.8660714,3
1.31,0.003,34,8.36,1009.694118,3
1.3,0.004,25,15.77,138.0400763,2
1.3,0.003,29,17.16,601.9672131,3
1.31,0.002,61,23.37,288.5107564,3
1.31,0,80,2.28,563.5,3
1.3,0,80,2.22,514.0983607,3
1.3,0,80,0,620.6,3
1.33,0.007,60,6.93,25.79104478,2
1.33,0.007,64,1.48,11.28358209,3
1.3,0.008,54,5.22,25.97014925,1
1.3,0.007,55,3.8,18.50746269,1
1.26,0.005,56,3.75,23.2,1
1.26,0.003,56,3.35,24.27906977,1
1.26,0.004,41,54.18,113.6363636,1
1.26,0.005,41,36.38,104.1666667,1
1.2,0.005,43,25.76,61.15384615,1
1.32,0.006,55,4.98,138.9928058,1
1.32,0.006,52,4.92,68.02816901,1
1.32,0.006,58,3.9,64.47761194,1
1.32,0.005,64,2.52,10.0075188,2
1.32,0.005,51,8.61,50.88129496,1
1.29,0.005,64,2.12,20.56060606,2
1.29,0.004,65,1.56,6.734848485,3
1.43,0,65,1.95,21.3877551,2
1.43,0,70,1.53,12.47297297,2
1.42,0,55,7.32,26.04081633,1
1.28,0.003,52,4.02,47.00719424,1
1.28,0.003,54,3.9,62.67625899,1
1.29,0.002,55,6.18,41.84285714,2

1.2,0.004,50,5.04,180.48,1
1.2,0.005,50,4.27,248.16,1
1.2,0.004,53,4.86,35.264,1
1.2,0.005,45,6.96,486.0952381,1
1.2,0.005,51,4.5,70.528,1
1.24,0.008,41,12.09,80.3053716,1
1.29,0.003,44,5.2,183.8184932,1
1.29,0.004,40,10.5,72.75666667,1
1.29,0.007,40,11.9,61.77336277,1
1.23,0.004,39,44.73,84.78405316,1
1.23,0.003,39,24,62.11538462,1
1.2,0.002,41,55.44,209.3293651,1
1.2,0,39,33.63,126.9767442,1
1.39,0.003,54,5.11,133.9795918,1
1.39,0.004,61,2.56,15.85135135,2
1.42,0.005,28,13.02,373.192446,1
1.42,0.003,14,0,353.8819876,1
1.42,0.005,23,6.84,324.4444444,1
1.42,0.005,29,7.56,278.4172662,1
1.42,0.007,25,7.75,427.9457769,1
1.34,0,79,1.1,16,2
1.34,0,81,0.98,15.17647059,3
1.34,0,83,0.7,10.51470588,3
1.34,0,79,1.1,16,3
1.3,0,56,3.6,52.08333333,1
1.3,0,56,3.75,26.98863636,1
1.3,0,59,2.72,78.94736842,1
1.3,0,59,2.64,29.82954545,1
1.29,0,47,24.09,95.5959596,1
1.29,0,48,10.08,106.5,1
1.29,0,61,6.48,51.10633727,1

1.29,0,61,2.68,106.2428571,1
1.29,0,61,2.32,100.9784173,1

1.29,0,59,17.46,25.26520681,1
1.41,0,67,3.68,38.18181818,2
1.41,0,76,0.86,11.32394366,2
1.41,0,61,2.12,12.10344828,2
1.35,0,67,1.84,18.44927536,3
1.35,0,68,1.17,9.637681159,3
1.34,0,81,0.26,2.933823529,3
1.34,0,80,0.26,2.933823529,3
1.3,0,78,0.4,7.424242424,3
1.3,0,74,1,32.0610687,2
1.3,0,79,0.34,5.816793893,3
1.3,0,75,0.63,16.03053435,2
1.37,0.001,77,1.32,52.24113475,2
1.37,0.001,75,1.38,21.77142857,2
1.37,0.001,75,1.4,21.77142857,2
1.37,0.001,75,1.42,21.92805755,2
1.28,0,73,1.46,80.72180451,2
1.28,0,73,2.13,40.97709924,2
1.28,0,78,1.36,23.98888889,2
1.28,0,74,1.38,40.66666667,2
1.33,0,69,4,53.76642336,2
1.33,0,72,2.64,54.11764706,2
1.17,0,53,8.4,23.37127371,1
1.17,0,51,10.64,20.86451613,1
1.23,0,52,12.32,24.72527473,1
1.23,0,52,11.44,31.98461538,1
1.23,0,56,5.18,54.8759542,1
1.23,0,50,13.32,31.35824176,1
1.23,0,50,13.32,31.35824176,1
1.46,0.005,55,5.74,78.12,1
1.46,0.005,52,6.88,147.8145695,1
1.46,0.006,49,7.83,182.2516556,1
1.46,0.004,64,2.88,17.35333333,2
1.46,0.003,66,2.8,34.96,2
1.46,0.003,65,2.8,34.47682119,2
1.46,0.003,65,2.8,34.47682119,2
1.46,0.005,65,2.64,12.92982456,2

1.46,0.005,65,2.8,12.34210526,2
1.46,0.006,65,2.96,53.24503311,2
1.46,0.005,27,12.16,307.4648276,1
1.46,0.005,28,20.91,361.2785388,1
1.46,0.001,50,5.46,65.73248408,1
1.46,0.001,53,4.1,34.86075949,1
1.46,0.001,53,4.1,34.86075949,2
1.46,0.003,42,7.5,426.4615385,1
1.46,0.002,61,2.72,20.29299363,2
1.46,0.002,53,5.67,93.89423077,2
1.46,0.003,37,9.36,565.1538462,1
1.46,0.004,38,8.28,464.0506329,1
1.46,0.004,31,9.75,1753.230769,1
1.46,0.003,28,10.24,357.218543,1
1.46,0.004,28,9.38,274.8344371,1
1.46,0.004,28,9.38,234.1721854,1
1.52,0.002,60,3.2,43.2,2
1.52,0.002,59,4.55,43.2,1
1.52,0.003,61,2.44,18.275,2
1.52,0.002,60,2.84,18.275,2
1.52,0.004,62,1.56,9.5,2
1.52,0.005,60,1.6,12.1875,2
1.52,0.003,61,2.32,12.5625,3
1.52,0.002,61,2.68,15.759375,3

1.52,0.005,58,3.55,46.41719745,1
1.52,0.005,55,4.02,60.15189873,1
1.52,0.004,59,4.75,30.11320755,2
1.52,0.004,58,3.75,62.65822785,1
1.52,0.004,57,4.08,55.34810127,1
1.52,0.002,61,1.7,47.77689873,2
1.52,0.007,56,4.08,77.42307692,1
1.52,0.005,57,4.35,15.66149068,1
1.28,0.003,23,11.04,329.6527778,1
1.28,0.002,16,12.21,215.0073529,1
1.28,0.002,20,34.32,1023.661972,1
1.28,0.003,26,12.54,1130.890411,1
1.38,0.005,45,4.55,20.83687943,1
1.38,0.005,45,4.69,20.83687943,2
1.38,0.004,46,5.46,23.44148936,1
1.38,0.003,42,6.24,20.69014085,1
1.38,0.004,42,5.04,31.03521127,1
1.38,0.003,44,3.06,17.3943662,2
1.38,0.003,43,3.24,17.3943662,1
1.38,0.003,39,8.4,14.49295775,1
1.38,0.004,39,8.72,14.39160839,1
1.38,0.003,40,8.64,14.39160839,1
1.38,0.004,41,8.24,28.08566434,1
1.38,0.004,41,8.24,28.08566434,1

1.38,0.004,39,7.28,21.06993007,1
1.38,0.001,41,5.46,22.87234043,1
1.38,0.002,44,3.5,14.53521127,1
1.42,0.004,45,6.23,45.20547945,1
1.42,0.004,43,7.68,45.20547945,1
1.42,0.004,44,8.88,82.28571429,1

1.42,0.004,39,10.8,136.3758389,1
1.42,0.004,46,4.13,46.10666667,1
1.42,0.004,36,12,27.71917808,1
1.42,0.005,44,4.97,8.198198198,1

1.42,0.003,38,10.26,163.6510067,1
1.42,0.004,49,4.26,15.86666667,1
1.42,0.006,43,5.04,8.198198198,1
1.42,0.007,44,5.11,15.67905405,1
1.36,0.005,42,2.8,63.33333333,1
1.36,0.007,42,3.01,63.33333333,1
1.36,0.004,42,3.15,47.83216783,1
1.36,0.005,42,3.15,20.84507042,1
1.36,0.005,44,2.87,44.95774648,1
1.36,0.005,44,4.97,23.95774648,1
1.35,0.005,42,6.8,18.99530516,1
1.35,0.006,41,7.6,28.49295775,1
1.36,0.005,40,8.24,44.625,1
1.36,0.006,39,10.08,108.5395683,1
1.36,0.005,37,10.89,45.19148936,1
1.36,0.004,37,10.53,53.88214286,1
1.36,0.007,39,11.34,21.47619048,1
1.36,0.005,36,9.36,25.68571429,1
1.36,0.005,37,7.92,19.48571429,1
1.36,0.004,39,5.28,14.5106383,1
1.36,0.002,44,3.71,11.4084507,1
1.36,0.006,45,2.58,9.031690141,1
1.36,0.005,51,3.1,14.0625,1
1.36,0.004,52,3.05,13.13103448,1
1.36,0.003,46,2.82,17.23943662,1
1.36,0.005,47,3.18,17.23943662,1
1.36,0.004,51,3.72,11.33333333,1
1.36,0.004,43,3.64,7.072769953,1
1.44,0.006,38,6.96,48.56375839,1

1.44,0.006,32,13.2,93.34228188,1

1.44,0.006,32,15.12,101.79,1
1.44,0.005,29,25.34,150.8,1
1.44,0.007,26,33.28,217.36,1
1.44,0.007,22,38.34,198.5306122,1
1.46,0.008,28,33.45,75.44,1
1.46,0.007,30,22.88,65.97972973,1
1.46,0.007,30,5.17,79.46938776,1
1.46,0.005,29,8.4,178.0939597,1
1.46,0.005,29,9.75,184.8,1
1.46,0.007,28,8.97,50.32258065,1
1.46,0.008,27,12.22,74.63694268,1
1.46,0,19,51,237.5856164,1
1.46,0.002,25,28,199.7368421,1
1.46,0.005,27,21.6,76.00645161,1
1.22,0.001,40,5.6,78.64516129,1
1.22,0.001,37,7.52,26.34677419,1
1.22,0.003,32,10.44,66.39784946,1
1.22,0.002,27,5.12,806.3414634,1
1.22,0.005,33,7.92,130.5,1
1.22,0.003,36,7.7,166.0909091,1
1.22,0.004,39,6.72,60.44628099,1
1.22,0.005,37,8,33.73809524,1
1.22,0.007,31,9.5,52.12903226,1
1.22,0.002,31,9.96,212.195122,1
1.22,0.002,31,11.44,119.516129,1
1.22,0.004,31,8.04,257.1380597,1
1.22,0.005,23,15.81,251.3114754,1
1.22,0.006,27,17.22,69.18237705,1
1.22,0.005,26,11.55,292.8387097,1
1.22,0.005,28,11.9,125.4200542,1
1.22,0.004,32,7.8,257.1380597,1
1.22,0.006,34,8.3,51.15422886,1
1.22,0.007,30,15.08,326.808,1
1.22,0.008,34,10.89,75.9375,1
1.22,0.005,26,15,195.3170732,1
1.26,0.007,25,26.28,171.5223881,1
1.26,0.005,30,12.96,98.30845771,1
1.26,0.008,33,13.7,78.67669173,1
1.26,0.007,34,13.32,77.03731343,1
1.26,0.008,34,15.2,107.3731343,1
1.36,0.006,56,8.14,163.1964286,1
1.36,0.002,66,2.24,21.46478873,2
1.36,0.005,61,4,9.087470449,2
1.36,0.005,54,7.35,46.2674772,1
1.36,0.002,54,4.75,306.3311258,1
1.36,0.002,24,0,468.7540984,3
1.38,0,46,3.9,202.4238411,1
1.42,0.005,32,18.98,140.6527778,1
1.42,0.007,30,24.08,119.6344828,1
1.42,0.001,45,8.88,43.96523179,1
1.42,0.001,39,8.16,15.94512772,1
1.42,0.004,34,21.56,76.08322148,1
1.42,0.002,31,28.92,234.0472973,1
1.36,0.006,35,9.12,169.7222222,1
1.36,0.003,37,10.32,469.3333333,1
1.36,0.007,35,12.65,216.5693431,1
1.36,0.008,32,22.75,116.7841502,1
1.36,0.008,32,16.77,238.3941606,1
1.36,0.008,33,10.4,197.1,1
1.36,0.008,33,17.28,145.8656934,1
1.33,0.008,20,58.5,359.3333333,1
1.33,0.006,20,49.95,408.0895522,1
1.33,0.007,35,35.1,105.3545735,1
1.33,0.002,33,17.92,185.7481752,1
1.33,0.001,37,18.98,264.2922794,1
1.33,0.005,27,32.04,240.5142857,1
1.33,0.004,28,24.32,211.0628571,1
1.33,0.004,29,39.78,103.2371946,1
1.33,0.003,27,34.68,99.45396825,1
1.33,0.007,37,32.01,62.21428571,1
1.33,0.008,41,28.9,49.275,1
1.33,0.001,44,14.24,172.5539568,1
1.31,0.006,29,7.56,503.4155844,1
1.31,0.008,25,9.36,563.8336887,1
1.31,0.005,32,4.14,1018.378446,1
1.31,0.004,39,2.5,296.358209,1
1.31,0.005,32,13.42,713.1678832,1
1.31,0.005,42,4.6,215.212766,1
1.31,0.007,40,5.39,230.626927,1
1.31,0.005,33,4.56,605.7625899,1
1.31,0.003,35,0,715.1830986,1
1.31,0.005,38,3.77,504.4366197,1
1.31,0.007,42,2.88,514.6126761,1

1.31,0.006,25,8.84,212.1151079,1
1.31,0.008,24,9.49,106.057554,1
1.31,0.006,28,6.02,47.60689655,1
1.31,0.005,29,5.85,62.9137931,1
1.31,0.005,23,9.9,115.4004474,1
1.31,0.003,25,9.1,164.9375,1
1.31,0.002,25,8.84,101.1914894,1
1.31,0.004,27,12.18,47.70456754,1
1.31,0.005,28,5.2,64.26810176,1
1.29,0.001,27,9.48,73.13432836,1
1.29,0,28,7.81,81.94029851,1
1.29,0.004,25,16.95,173.9599237,1
1.29,0.006,23,18.9,430.6382979,1
1.29,0.004,24,20.1,371.7391304,1
1.29,0.008,23,0.75,71.71448276,1
1.29,0.006,22,0.8,108.75,1
1.29,0.008,22,15.9,79.1369863,1
1.29,0.008,21,6.75,91.125,1
1.29,0.008,22,0,130.5,1
1.29,0.009,23,0,147,1
1.22,0.001,15,52.92,392.2439024,1
1.22,0.001,13,63.3,490.304878,1
1.22,0,13,66.56,685.0859504,1
1.22,0.002,17,32.34,520.9552846,1
1.22,0,12,91.08,616.2997658,1
1.39,0.005,33,14.08,144.5517241,1
1.39,0.005,34,15.51,48.375,1
1.39,0.003,41,6.56,75.88965517,1
1.39,0.004,34,8.1,37.68493151,1
1.39,0.005,39,6.08,126.6849315,1
1.39,0.005,38,6.39,158.3561644,1
1.39,0.005,37,10.14,99.42068966,1
1.39,0.003,38,11.7,75.46478873,1

1.35,0.007,29,13.52,43.34285714,1
1.35,0.007,28,13.58,51.42857143,1
1.35,0.008,27,11.9,108.2553191,1
1.35,0.006,26,13.13,98.22302158,1
1.35,0.007,26,9.6,204.4822695,1
1.35,0.008,23,15.84,168,1
1.35,0.006,27,8.7,167.9323944,1
1.35,0.006,23,14.28,131.0503597,1
1.35,0.005,24,9.75,214.7945205,1
1.35,0.005,25,11.5,118.5455782,1
1.35,0.003,24,19.65,103.125,1
1.35,0.003,23,14.56,163.7777778,1
1.36,0.005,23,14.16,166.6849315,1
1.36,0.005,22,16.56,117.4068966,1
1.35,0.003,25,13.35,165,1
1.35,0.005,26,5.1,121.0791367,1
1.25,0.004,32,6,77.44354839,1
1.25,0.004,35,6.21,25.6476378,1
1.25,0.004,37,5.68,20.09448819,1
1.25,0.004,38,4.96,49.58778626,1
1.25,0.005,38,5.36,22.51908397,1
1.25,0.003,37,6.96,32.77272727,1
1.25,0.004,38,7.2,27.51908397,1
1.25,0.004,37,6.4,53.46564885,1
1.25,0.003,38,7.04,32.77272727,1
1.25,0.004,38,7.6,27.51908397,1
1.25,0.006,36,5.85,79.00763359,1
1.25,0.004,37,5.36,26.13636364,1
1.25,0.007,33,5.94,148.7633588,1
1.25,0.004,32,6.3,219.2307692,1
1.25,0.004,28,9.48,117.1534091,1
1.25,0.005,26,10.4,156.2045455,1
1.27,0.006,33,6.7,200.5714286,1
1.27,0.007,34,6.1,735.0447761,1
1.27,0.007,30,9.38,115.5255474,1
1.27,0.009,32,7.7,577.6,1
1.27,0.007,22,47.67,305.4333333,1
1.27,0.007,21,54.78,332.1609023,1
1.27,0.008,18,47.75,218.9553719,1
1.27,0.007,20,42.46,305.7096774,1
1.27,0.009,17,10.36,303.3391304,1
1.27,0.007,17,10.36,180.4344828,1
1.27,0.008,32,7.5,727.3880597,1

1.27,0.005,19,57.73,606.528,1
1.27,0.005,19,58.42,246.796875,1
1.33,0.007,32,8.82,406.4214765,1
1.33,0.006,31,1.82,236.5269017,1
1.33,0.004,28,0,256.2974684,1
1.33,0.006,33,5.28,141.1535049,1
1.33,0.006,17,5.04,902.5942029,1
1.33,0.004,16,0,649.9705882,1
1.33,0.007,27,19.38,620.942029,1
1.33,0.007,31,18.2,307.3828571,1
1.36,0.006,36,6.96,407.5310345,1
1.36,0.007,31,11.2,362.0833333,1
1.37,0.007,27,16.16,592.8510638,1
1.37,0,20,0,1174.892308,1
1.34,0.01,26,27.18,402.4583942,1
1.34,0.005,31,20.44,374.8992806,1
1.34,0.007,25,18.62,501.9826087,1
1.34,0.006,14,0,975.9483204,1
1.41,0.006,36,12.74,91.26484018,1
1.41,0.007,28,19.89,90.24691358,1
